Reference, Quantity, Value, Footprint, Datasheet, LCSC Part
C16 C1 ,2,"10u","stdpads:C_0805","~","C15850"
C6 C2 C3 C4 C8 C9 C10 C7 C5 C11 C13 C12 C14 C15 ,14,"2u2","stdpads:C_0603","~","C23630"
FID4 FID3 FID2 FID1 ,4,"Fiducial","stdpads:Fiducial","~"
H1 H2 H3 H4 H5 ,5," ","stdpads:PasteHole_1.152mm_NPTH","~"
J1 ,1,"AppleIIBus","stdpads:AppleIIBus_Edge","~"
R1 ,1,"3k3","stdpads:R_0805","~","C26010"
R2 R4 ,2,"22k","stdpads:R_0805","~","C17560"
R3 ,1,"10k","stdpads:R_0805","~","C17414"
R5 ,1,"33","stdpads:R_0805","~","C17634"
SW1 ,1,"DMA/ROM","stdpads:SW_DIP_SPSTx02_Slide_DSHP02TS_P1.27mm","~","C319052"
U1 ,1,"621024","stdpads:SOP-32_P1.27mm","http://www.futurlec.com/Datasheet/Memory/628128.pdf","C397875"
U11 ,1,"74LVC1G126GW","stdpads:SOT-353","","C88039"
U15 U13 U20 U12 U16 U14 U17 U19 ,8,"74AHCT1G04GW","stdpads:SOT-353","","C148199"
U2 ,1,"74HCT245PW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","","C5980"
U3 U4 ,2,"74HCT273PW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","http://www.ti.com/lit/gpn/sn74LS273","C5983"
U6 U8 U9 ,3,"74AHCT08PW","stdpads:TSSOP-14_4.4x5mm_P0.65mm","http://www.ti.com/lit/gpn/sn74LS08","C155175"
U7 U10 ,2,"74AHCT32PW","stdpads:TSSOP-14_4.4x5mm_P0.65mm","http://www.ti.com/lit/gpn/sn74LS32","C129435"
