"Reference","Quantity","Value","Footprint","LCSC Part","DNP"
"C1, C2, C3, C4, C5","5","10u","stdpads:C_0805","C15850",""
"C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21","16","2u2","stdpads:C_0603","C23630",""
"D1, D2, D3, D4, D5, D6","6","Amber","stdpads:LED_0805","C284932",""
"FID1, FID2, FID3, FID4","4","Fiducial","stdpads:Fiducial","",""
"H1, H2, H3, H4, H5","5","~","stdpads:PasteHole_1.152mm_NPTH","",""
"J1","1","AppleIIBus","stdpads:AppleIIBus_Edge","",""
"Q1","1","MMBT3904","stdpads:SOT-23","",""
"R1, R3, R5, R6, R7, R8, R9, R10, R11","9","10k","stdpads:R_0603","C17560",""
"R2","1","2k2","stdpads:R_0603","C17560",""
"R4","1","47","stdpads:R_0603","C17560",""
"R12, R13, R14, R15, R16, R17","6","470","stdpads:R_0805","",""
"SW1","1","CFG","stdpads:SW_DIP_SPSTx05_Slide_DSHP05TS_P1.27mm","",""
"U1","1","621024","stdpads:SOP-32_450mil","C397875",""
"U2","1","74HCT245PW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","C5980",""
"U3","1","74AHCT00PW","stdpads:TSSOP-14_4.4x5mm_P0.65mm","C155175",""
"U4, U10, U15","3","74AHC1G14GW","stdpads:SOT-353","",""
"U5, U18","2","74HCT273PW","stdpads:TSSOP-20_4.4x6.5mm_P0.65mm","",""
"U6","1","74AHCT02PW","stdpads:TSSOP-14_4.4x5mm_P0.65mm","C155175",""
"U7, U8, U9, U11","4","74AHCT08PW","stdpads:TSSOP-14_4.4x5mm_P0.65mm","C155175",""
"U12, U13","2","74AHCT32PW","stdpads:TSSOP-14_4.4x5mm_P0.65mm","C129435",""
"U14","1","74AHCT1G125GW","stdpads:SOT-353","",""
